'x_c1', 'y_c1', 'z_c1', 'x_c2', 'y_c2', 'z_c2', 'vx_c1', 'vy_c1', 'vz_c1', 'vx_c2', 'vy_c2', 'vz_c2'
-2.876473127219773 -1.8437198334264684 -4.635975643728189e-07 -2.3647500959125574 -0.7943589710189707 -4.635975643728189e-07 0.08659139699196917 -0.13509532730759768 -7.722172908400203e-08 0.06123849947989559 -0.18353422968347474 7.988551340196058e-08 
-2.816222533508768 -1.9340653013468516 -5.15452769041826e-07 -2.3202890403827237 -0.917792208870104 -5.15452769041826e-07 0.09128087999588677 -0.13161109091454473 -7.58422381939341e-08 0.06999573074870648 -0.1808187147285528 7.664848207637794e-08 
-2.752819812848536 -2.0219889365063195 -5.663029539447063e-07 -2.269966442567038 -1.0392403407943844 -5.663029539447063e-07 0.09589773193095102 -0.127945112021593 -7.425164680151412e-08 0.07853866261829884 -0.1776757247758329 7.307971526260262e-08 
-2.6863141685587366 -2.1073676746487124 -6.159991244092365e-07 -2.2139386482921783 -1.1584188260578003 -6.159991244092365e-07 0.1004420376083976 -0.12409754357155667 -7.243197974398387e-08 0.08683431799162797 -0.1741205473724922 6.917271374513564e-08 
-2.616754560877325 -2.190078569751915 -6.643795463795482e-07 -2.1523842694690343 -1.275054324056756 -6.643795463795482e-07 0.10491443049454743 -0.12006859203665755 -7.036362224448608e-08 0.0948499818175891 -0.17017095273192367 6.492085443491357e-08 
-2.544189336006015 -2.2699988526152133 -7.112686930865974e-07 -2.085503908356211 -1.3888863507395892 -7.112686930865974e-07 0.10931608758289461 -0.11585858516338807 -6.802550886973762e-08 0.10255349680823389 -0.16584711007974087 6.031755962024594e-08 
-2.468665865358016 -2.3470060386006373 -7.564763615737313e-07 -2.013519669925437 -1.4996688603274146 -7.564763615737313e-07 0.1136487035663945 -0.11146804858486921 -6.539543878622882e-08 0.10991359317587143 -0.16117145051131201 5.535656120873905e-08 
-2.3902302106298103 -2.420978088652539 -7.997970489961684e-07 -1.9366744398997375 -1.6071717159858494 -7.997970489961684e-07 0.11791443976949154 -0.10689778524749373 -6.245052821153833e-08 0.11690025008225362 -0.15616847663067232 5.00322662795499e-08 
-2.3089268328781642 -2.4917936225899897 -8.41009681173903e-07 -1.8552309087482606 -1.7111820146049803 -8.41009681173903e-07 0.12211584505134068 -0.10214894854250957 -5.91677955466141e-08 0.12348508285835043 -0.1508645232614269 4.434021534582502e-08 
-2.2247983646649776 -2.559332176498795 -8.798777756227415e-07 -1.7694703275945278 -1.8115052352527914 -8.798777756227415e-07 0.1262557491289832 -0.09722309718091819 -5.552485233614189e-08 0.12964174494072675 -0.1452874779770647 3.827760337821135e-08 
